;0;1;2;3;4;genre
111;blues;blues;blues;blues;blues;louisiana blues
112;blues;blues;blues;blues;blues;memphis blues
113;blues;blues;blues;blues;blues;piedmont blues
114;blues;blues;blues;blues;blues;punk blues
115;blues;blues;blues;blues;blues;rhythm and blues
116;blues;blues;blues;blues;blues;soul blues
117;blues;blues;blues;blues;blues;st. louis blues
118;blues;blues;blues;blues;blues;swamp blues
119;blues;blues;blues;blues;blues;texas blues
120;blues;blues;blues;blues;blues;west coast blues
121;blues;blues;blues;blues;blues;blues
122;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;baithak gana
123;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;dancehall music
124;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;bouyon
125;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;cadence-lypso
126;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;calypso
127;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;cha-cha-chá
128;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;chutney
129;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;chutney soca
130;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;compas
131;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;mambo
132;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;merengue
133;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;méringue
134;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;mozambique
135;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;punta
136;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;caribbean_influenced;punta rock
